Scottsdale Barbell Open,US,1987.csv
Force Praxeum Invitational,US,1993.csv
I-STEP 2nd Annual Invitational and Developmental Meet,US,2242.csv
Pittsburgh Open,US,4633.csv
Iron Factory Fall Open,US,4155.csv
April Weightlifting League,US,2524.csv
Team Spartacus Winter Open 2018,US,2915.csv
Larry Mintz Memorial,US,750.csv
Team chikara Developmental Meet #34,US,988.csv
Boomtown Open,US,744.csv
Old Folks Open 2018,US,2901.csv
The OTC Colorado Springs Open - The Final Lift Off,US,2097.csv
Northern Colorado Summer Classic,US,3389.csv
2020 Will You Be My Valentine Weightlifting Meet,US,4380.csv
Testify Christmas Classic,US,2929.csv
The John Davis Memorial 6,US,4394.csv
Capital City Open,US,778.csv
Orlando Open,US,2083.csv
Winter Lift-Off,US,4419.csv
Conquer All Chaos,US,3376.csv
2016 Vulkan Weightlifting Fall Open,US,2068.csv
Fall 2014 Ironcat Open,US,1561.csv
Young Guns Invitational,US,793.csv
Jeffed-up Classic,US,1207.csv
Freedom Finals 2021,US,5061.csv
Liftmas in July,US,3410.csv
2021 Gough-Karchut Classic and Montana State Weightlifting Championships,US,5075.csv
"First Timers, Old Timers, No Pressure, No Awards",US,3404.csv
Gymcore Invitational Qualifier,US,1213.csv
Dumbarton Invitational #3,US,787.csv
Chikara Invitational,US,1575.csv
Big Sky State Games,US,3362.csv
Jingle Barbells Winter Classic,US,4425.csv
2016 Star of the North Games,US,2054.csv
Summer Slam- A Texas State Meet Qualifier,US,2732.csv
Lehigh Valley Open,US,4343.csv
Team Chikara Developmental Meet # 28,US,977.csv
Monday Madness Last Chance Qualifier,US,963.csv
SSC Fall Brawl,US,5049.csv
2017 HWC Summer Open,US,2726.csv
2018 Fortius Dev.1,US,3438.csv
Intro to Kilos,US,4357.csv
Folsom Open 1,US,4431.csv
Summer Slam- A Texas State Qualifer,US,2040.csv
Don Wilson Golden West Open,US,1549.csv
Last Chance Qualifier,US,142.csv
Kratos Open,US,2861.csv
Lone Star Winter Youth/Junior Developmental Meet,US,624.csv
Team Chikara Developmental Meet #30,US,630.csv
The Unrivaled Classic 2017,US,2875.csv
Handle Barbell Open,US,156.csv
Michigan Weightlifting State Championship,US,4592.csv
Dumbarton Invitational 2015-2,US,80.csv
Olympic Weightlifting Academy Open,US,618.csv
New Years Eve Lift Off!,US,2685.csv
Robert Murphy Memorial at the Sunshine State Games,US,2691.csv
Fireside Classic,US,2849.csv
Pittsburgh Winter Club Meet,US,94.csv
Southwest Weightlifting Open,US,1398.csv
Masters Nationals Online Submission Event,US,4586.csv
2018 Swagler Strength Spring Open,US,3202.csv
Canusa Jeckyl Hyde Summer Open,US,181.csv
Bacon and Barbells Open,US,1415.csv
2014 MISSOURI VALLEY Championship with Open Division,US,1373.csv
2019 TCA New Year's Weightlifting Meet,US,3564.csv
2021 Junior Pan American Championships,US,5115.csv
Calavera Barbell‚„s Day of the Dead Meet,US,3570.csv
2022- NWC New Year Open,US,5101.csv
Lone Star Youth/Junior Invitational,US,1367.csv
NWA Barbell Club Open,US,1401.csv
A3 Practice Competition,US,195.csv
Jenny Arthur Send Off to Rio,US,2108.csv
2018 TCA Summer Lift-Off Weightlifting Meet,US,3216.csv
August online qualifier,US,4579.csv
The Garage Games Classic,US,1429.csv
University Nationals Last Chance Qualifier,US,2120.csv
2020 Wiregrass Weightlifting Open,US,4551.csv
North Coast Open,US,4237.csv
The Garage Fall Open,US,3558.csv
Alex's Last Shot,US,2646.csv
Hassle Free BBC Evo Winter Breaker,US,5129.csv
The Holiday Season Open,US,43.csv
2013 UCF Invitational,US,803.csv
Moorestown Development Meet,US,57.csv
Volusia Youth Qualifier,US,817.csv
2019 Wisconsin State Open,US,4223.csv
First Coast Open and 904 Championships,US,2652.csv
2016 Gough-Karchut Classic,US,2134.csv
Bay State Games,US,5.csv
3rd Annual Christmas & Kilos,US,4545.csv
NM Games & NM State Championships,US,426.csv
