event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
"WA End of Year Open, School Sports & Awards",2021-12-12,female,Virginia Metcalfe,70.85,50,-53,54,65,-69,69,54,69,123,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,female,Saskia Van Leeuwen,69.80,50,53,-56,-65,65,69,53,69,122,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,female,Callie Mcnulty,70.20,41,43,46,56,-59,59,46,59,105,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,female,Mika Kemp,68.15,37,42,47,52,57,-63,47,57,104,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,female,Jessica Brook,67.10,42,46,50,50,-54,-54,50,50,100,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,female,Jen Williams,75.30,60,64,-66,82,-87,87,64,87,151,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,female,Mj Simun,71.35,52,-56,-56,62,65,-69,52,65,117,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,female,Marnie Farrell,73.75,25,27,30,35,38,-40,30,38,68,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,female,Meg Eichner,80.10,58,61,-64,78,81,84,61,84,145,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,female,Stephanie Meredith,80.75,-58,58,61,73,-76,-76,61,73,134,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,female,Zama Ngubane,76.75,45,-48,-48,68,-71,-71,45,68,113,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,female,Ashton Hoover,81.25,50,54,57,62,66,-70,57,66,123,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,male,Jed Stanley,45.15,35,38,40,50,53,55,40,55,95,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,male,Emidio Pileggi,41.75,37,-40,-40,47,-50,50,37,50,87,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,male,Ripley Thomson,58.15,28,31,-34,37,41,-43,31,41,72,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,male,Alexander Hodgins,65.05,60,65,68,80,-85,85,68,85,153,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,male,Aedam Quinn,65.90,55,60,-63,75,80,85,60,85,145,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,male,James Peñales,72.35,-75,75,80,100,105,-110,80,105,185,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,male,Zane Harding,71.10,45,50,-55,-75,75,-80,50,75,125,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,male,Michael Carmellotti,80.15,98,101,105,125,130,-135,105,130,235,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,male,Tsuyoshi Nagatani,74.10,-60,60,65,-84,-84,84,65,84,149,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,male,Oscar Batty,76.40,42,45,48,45,50,53,48,53,101,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,male,Luke Delaveris,77.90,-88,-88,-91,,,,0,0,0,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,male,Oliver Saxton,88.15,126,133,-136,155,-168,-168,133,155,288,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,male,Daniel Kural,84.50,98,102,105,124,128,132,105,132,237,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,male,Kelvin Hall,82.90,94,-98,-98,-115,115,118,94,118,212,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,male,Jaeden Carlyon,87.20,90,94,98,110,-115,-115,98,110,208,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,male,Ben Hoy,81.15,78,-81,81,95,100,-104,81,100,181,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,male,Shane Spinks,88.15,75,80,-82,90,95,-100,80,95,175,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,male,Ben Scott,86.85,-62,-62,62,75,-80,-80,62,75,137,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,male,Matt Helstrip,95.75,-122,122,126,150,-154,-155,126,150,276,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,male,Nikolas Grubelich,95.35,-90,90,95,108,113,-118,95,113,208,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,male,Jett Hoover,90.15,81,84,87,103,-106,106,87,106,193,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,male,Wayne Poon,93.05,67,72,-75,95,100,105,72,105,177,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,male,Benjamin Lee,91.50,40,43,46,55,58,-61,46,58,104,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,male,Daniel Kraljevich,96.75,110,115,120,125,130,135,120,135,255,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,male,Daniel Moss,101.85,-80,-80,83,103,108,-111,83,108,191,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,male,Derek D'Mellow,96.90,,,,,,,0,0,0,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,male,Jordan Meester,107.95,98,103,-108,122,127,-133,103,127,230,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,male,Reneigh Morley-Hart,110.85,-102,102,-108,135,140,145,102,145,247,AUS
