event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,male,Benjamin Shaw,89.70,110,115,120,135,140,145,120,145,265,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,male,Bowen Stuart,88.80,95,100,-105,120,125,-130,100,125,225,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,male,Joey Collins,92.70,78,82,85,118,122,125,85,125,210,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,male,Adam Hoyes,86.20,88,92,-95,115,-120,-120,92,115,207,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,male,Tim Hiscock,89.00,72,76,-80,102,107,112,76,112,188,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,male,Royce Dunne,102.30,115,120,125,145,150,155,125,155,280,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,male,Shane Wagner,95.80,102,107,112,125,132,,112,132,244,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,male,Rohan Cuffe,95.30,98,102,105,127,132,137,105,137,242,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,male,Damon Kelly,144.10,150,155,-160,185,195,,155,195,350,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,male,Jackson Solofa,122.90,125,-130,130,155,160,-165,130,160,290,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,male,Thomas O'Brien,138.50,-95,95,98,115,118,122,98,122,220,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,male,Miguel Beltran,68.70,83,87,-90,113,117,120,87,120,207,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,male,Robert Davison,76.90,84,-88,-93,112,117,122,84,122,206,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,male,Callum Hannay,77.00,-74,-74,74,95,100,-105,74,100,174,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,male,Raymond Louden,79.30,40,43,45,60,63,-65,45,63,108,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,male,Patrick Galligan,84.80,81,-84,-84,113,-117,-117,81,113,194,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,male,Colin Schram,81.80,70,75,79,101,106,109,79,109,188,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,male,Anthony Mckeown,84.40,70,72,74,95,98,100,74,100,174,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,male,Adam Brand,95.80,70,-75,75,100,105,110,75,110,185,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,male,Bobby Johnson,89.20,65,71,75,85,91,95,75,95,170,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,male,Iain Blacow,104.90,50,52,54,72,74,76,54,76,130,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,male,Pito Levi,114.50,100,-105,-110,130,137,139,100,139,239,AUS
